id	label	hovertext	author	x	y	type	relevance	size	year	umap1d
37712283	Rust on Espressif chips	Rust on Espressif chips	n8henrie	15.909114	4.7759094	story	4.0	129.0	1696040590	-9.504271
39135485	Mabez Rust on Espressif chips – Q4 u	Mabez Rust on Espressif chips – Q4 update	childintime	15.908813	4.774516	story	4.0	58.0	1706217678	-9.481397
36551255	Rust on Espressif chips	Rust on Espressif chips	childintime	15.908831	4.7758718	story	6.0	155.0	1688225970	-9.532847
33311316	Rust on Espressif chips – 17-10-2022	Rust on Espressif chips – 17-10-2022	tangled	15.907945	4.7724385	story	6.0	46.0	1666567857	-9.531156
30913359	Rust on Espressif chips Q1 2022	Rust on Espressif chips Q1 2022	mabez	15.909594	4.7747006	story	6.0	109.0	1649115262	-9.5202675
29000870	Rust on Espressif chips	Rust on Espressif chips	lukastyrychtr	15.909238	4.7758937	story	8.0	230.0	1635258548	-9.5540285
32106762	Rust on Espressif chips – 15-07-2022	Rust on Espressif chips – 15-07-2022	mabez	15.909027	4.775224	story	10.0	186.0	1657881827	-9.4913645
34924654	Rust on Espressif chips – 2023 Roadm	Rust on Espressif chips – 2023 Roadmap	mabez	15.908999	4.7758894	story	12.0	173.0	1677247963	-9.464386
