id	label	hovertext	author	x	y	type	relevance	size	year	umap1d
22455873	Ask HN: Who is hiring? (March 2020)	Ask HN: Who is hiring? (March 2020)	arberavdullahu	2.3950691	-3.395004	story	3.0	6.0	1583052494	-16.007126
12846271	Ask HN: Who is hiring? (November 201	Ask HN: Who is hiring? (November 2016)	whoishiring	2.3484795	-3.4786649	story	5.0	1.0	1478012953	17.196243
13540188	Ask HN: Who is hiring? (February 201	Ask HN: Who is hiring? (February 2017)	yvoschaap	2.3479762	-3.479161	story	7.0	7.0	1485952467	17.195908
12846313	Ask HN: Who is hiring? (November 201	Ask HN: Who is hiring? (November 2016)	whoishiring	2.3485045	-3.4785025	story	8.0	1.0	1478013086	-12.881146
14012753	Ask HN: Who is hiring? (April 2017)	Ask HN: Who is hiring? (April 2017)	kilimchoi	2.3480363	-3.4793613	story	18.0	8.0	1491062996	17.196074
