id	label	hovertext	author	x	y	type	relevance	size	year	umap1d
14790856	Hey all, Matt from Bonsai (YC W16) h	Hey all, Matt from Bonsai (YC W16) here. We provide contracts, proposals, invoices, and other tools to freelancers, mostly developers and designers.We used our anonymized data to break out what freelancers earn with different experience levels, skill sets, locations, etc: https://www.hellobonsai.com/rates	mthomasb	8.881913	16.051914	comment	3.0	11.0	1500314282	-23.616833
38495827	Would you know happen to know any pe	Would you know happen to know any persons or businesses seeking UX/UI work on contract? I would be very grateful to be put in touch with someone looking for this service, and have work I can show.  Thank you :)	omarfarooq	8.877641	16.091677	comment	3.0	11.0	1701490772	-23.60938
12894850	We're a YC company that put together	We're a YC company that put together a visualizer for freelance engineering and design rates.  It draws on a few thousand data points from our freelance invoice and contract product.You can filter by location, type of work, and experience: https://www.hellobonsai.com/rates	mthomasb	8.880812	16.059404	comment	4.0	12.0	1478551366	-23.617538
17284485	Thanks for the invitation, I would l	Thanks for the invitation, I would love to take you up on it but Tokyo is a long way away from where I live.I've actually had multiple freelance contracts locally but I've never managed to do any of them really. I had one making a business database of properties for a realtor where I couldn't make any progress and just stopped contacting them. I want to email them to apologise but I can never bring myself to do it.	ownerthrowaway	8.873706	16.111635	comment	7.0	22.0	1528727286	-23.61944
20859468	Ask HN: Freelancer? Seeking Freelanc	Ask HN: Freelancer? Seeking Freelancer? (September 2019)	whoishiring	8.872174	16.127066	story	8.0	6.0	1567436499	-23.61959
