id	label	hovertext	author	x	y	type	relevance	size	year	umap1d
26697605	"""The use of COBOL cripples the mind;"	"""The use of COBOL cripples the mind; its teaching should, therefore, be regarded as a criminal offense.""""It is practically impossible to teach good programming to students that have had a prior exposure to BASIC: as potential programmers they are mentally muti"	1ris	10.147633	9.7883005	comment	3.0	14.5	1617621634	-9.062371
26719708	I think people tend to under estimat	I think people tend to under estimate how primitive COBOL is.  For example, COBOL does not have variables.  Instead, COBOL programs have a raw memory buffer called working storage with named character offsets called records.  Both working storage and records c	GartzenDeHaes	10.147828	9.794487	comment	3.0	19.0	1617760461	-8.951072
35510772	Ask HN: What Happened to the Red Lan	Ask HN: What Happened to the Red Language	langfan	10.154876	9.733615	story	3.0	6.0	1681121904	-7.42188
38508735	Plenty of folks know COBOL - the pro	Plenty of folks know COBOL - the problem is you need to entice someone YOUNG to learn it, which basically means overpaying them.  If I'm an 18-year-old why would I focus on learning a programming language that puts me in a job with 0 chance of advancement?  Su	tw04	10.147501	9.792061	comment	3.0	12.5	1701624050	1.6298114
38509995	I'm pretty sure there's already a sy	I'm pretty sure there's already a system to transpile COBOL to Java without resorting to LLMs.	IshKebab	10.14775	9.793365	comment	3.0	11.0	1701632162	-8.9768915
27441589	> If a bank is still using Cobol, it	> If a bank is still using Cobol, it is interesting and a testament to how a Cobol programmer can still make a good living on it. But if a scientist is using Perl to carry out calculations, this is somehow bad?Yes. The negative externalities of doing scientifi	MontyCarloHall	10.147855	9.793915	comment	3.0	21.5	1623189849	-8.976562
33436629	Looks like C++ developers / holdouts	Looks like C++ developers / holdouts will be commanding 400-600k salaries in the comming decades, like those arcane COBOL wizards still tinkering on banking mainframes.	lordleft	10.148449	9.788037	comment	3.0	11.5	1667400209	1.6066942
33743628	Some of the modernisation efforts fo	Some of the modernisation efforts for these sorts of systems are fascinating.The US DOD have built a COBOL to Java transpiler that emits nearly-idiomatic Java. As far as I can remember they expect it to essentially be reviewed like any other Java contribution 	danpalmer	10.148961	9.78701	comment	3.0	11.5	1669392273	-8.939823
34010070	Any company that knows better has do	Any company that knows better has done a modernization to get to get off it asap. The legacy nature of the products means that the few outlets that still support them or their mainframes are charging exorbitant rates. How much? I had a customer (non-gov) that 	adra	10.148021	9.792712	comment	3.0	13.5	1671163948	1.7688863
34041889	"Cobol is far from dead. 
It is not s"	"Cobol is far from dead. 
It is not sexy and I dont know of any systems starting out today using it.
But there are massive legacy systems till out there.At least a couple years ago Cobol programmers were in high demand.According to Microfocus [1 (2018)] over 2 "	ThinkBeat	10.148033	9.793709	comment	3.0	13.5	1671392023	-8.907183
